"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\controllers\car_details_controller.dart", "Dart", 75, 0, 4, 79
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\controllers\sign_up_controller.dart", "Dart", 43, 0, 3, 46
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\binding\app_binding.dart", "Dart", 8, 1, 2, 11
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\api\api_errors.dart", "Dart", 29, 0, 9, 38
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\api\dio_crud.dart", "Dart", 91, 3, 5, 99
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\api\dio_exceptions.dart", "Dart", 49, 6, 6, 61
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\api\status_request.dart", "Dart", 10, 1, 1, 12
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\class\app_toast.dart", "Dart", 25, 0, 3, 28
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\functions\check_internet_connection.dart", "Dart", 12, 1, 1, 14
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\functions\validation.dart", "Dart", 38, 0, 3, 41
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\global\core\services\services.dart", "Dart", 19, 6, 3, 28
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\api\api_links.dart", "Dart", 25, 5, 3, 33
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\class\custom_icons.dart", "Dart", 18, 18, 4, 40
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\class\hive_box.dart", "Dart", 3, 1, 1, 5
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\class\hive_keys.dart", "Dart", 4, 1, 1, 6
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\constant\app_size.dart", "Dart", 8, 0, 2, 10
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\constant\app_statics.dart", "Dart", 16, 0, 1, 17
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\constant\arguments_names.dart", "Dart", 6, 0, 1, 7
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\constant\colors.dart", "Dart", 19, 5, 2, 26
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\constant\custom_icons.dart", "Dart", 8, 0, 4, 12
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\constant\images.dart", "Dart", 3, 0, 1, 4
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\constant\text_styles.dart", "Dart", 32, 2, 5, 39
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\functions\close_key_board.dart", "Dart", 4, 0, 1, 5
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\functions\convert_to_arabic_number.dart", "Dart", 13, 0, 1, 14
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\functions\left_right_lang_pad.dart", "Dart", 22, 0, 2, 24
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\functions\lunch_url.dart", "Dart", 0, 13, 4, 17
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\middleware\middleware.dart", "Dart", 22, 0, 2, 24
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\routes\routes.dart", "Dart", 44, 0, 3, 47
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\themes\dark\dark_theme_text.dart", "Dart", 23, 0, 4, 27
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\themes\light\light_theme_text.dart", "Dart", 23, 0, 4, 27
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\core\themes\theme.dart", "Dart", 65, 2, 3, 70
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\OnBoarding\controller\on_boarding_controller.dart", "Dart", 44, 0, 6, 50
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\OnBoarding\view\pages\OnBoarding.dart", "Dart", 79, 0, 4, 83
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\auth\signup\sign_up.dart", "Dart", 110, 0, 3, 113
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\carsdetails\view\pages\car_details.dart", "Dart", 338, 0, 3, 341
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\carsdetails\view\widgets\car_forms.dart", "Dart", 92, 0, 3, 95
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\carsdetails\view\widgets\cat_details_linked_cars.dart", "Dart", 143, 0, 3, 146
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\carspage\view\pages\cars_page.dart", "Dart", 8, 0, 3, 11
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\favoritepage\favorite_page.dart", "Dart", 8, 0, 3, 11
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\home\controller\main_page_controller.dart", "Dart", 141, 0, 11, 152
"d:\Flutter\Flutter Projects    (Magd)\proj\lib\local\modules\home\model\drawer_model.dart", "Dart", 6, 0, 1, 7
